brand,parent_ecosystem,model_name,full_name,series,price_inr,price_raw,launch_status,sale_start_date,market,official_india_presence,brand_status,catalogue_url,product_url,specs_summary,scraped_at
Samsung,Mainstream & Flagship,Galaxy A16 5G,Samsung Galaxy A16 5G,Galaxy A Series,,,available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037040
Samsung,Mainstream & Flagship,Galaxy A15 5G,Samsung Galaxy A15 5G,Galaxy A Series,,,available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037045
Samsung,Mainstream & Flagship,Galaxy A07 5G,Samsung Galaxy A07 5G,Galaxy A Series,18499.0,"₹18,499",available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037049
Samsung,Mainstream & Flagship,Galaxy A07,Samsung Galaxy A07,Galaxy A Series,13499.0,"₹13,499",available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037055
Samsung,Mainstream & Flagship,Galaxy A06 5G,Samsung Galaxy A06 5G,Galaxy A Series,15499.0,"₹15,499",available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037060
Samsung,Mainstream & Flagship,Galaxy A06,Samsung Galaxy A06,Galaxy A Series,,,available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037064
Samsung,Mainstream & Flagship,Galaxy M47 5G,Samsung Galaxy M47 5G,Galaxy M Series,36999.0,"₹36,999",available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037069
Samsung,Mainstream & Flagship,Galaxy M17 5G,Samsung Galaxy M17 5G,Galaxy M Series,21999.0,"₹21,999",available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037074
Samsung,Mainstream & Flagship,Galaxy M17e 5G,Samsung Galaxy M17e 5G,Galaxy M Series,12499.0,"₹12,499",available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037079
Samsung,Mainstream & Flagship,Galaxy M36 5G,Samsung Galaxy M36 5G,Galaxy M Series,,,available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037083
Samsung,Mainstream & Flagship,Galaxy M56 5G,Samsung Galaxy M56 5G,Galaxy M Series,,,available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037088
Samsung,Mainstream & Flagship,Galaxy M35 5G,Samsung Galaxy M35 5G,Galaxy M Series,,,available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037092
Samsung,Mainstream & Flagship,Galaxy M55 5G,Samsung Galaxy M55 5G,Galaxy M Series,,,available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037096
Samsung,Mainstream & Flagship,Galaxy M55s 5G,Samsung Galaxy M55s 5G,Galaxy M Series,,,available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037100
Samsung,Mainstream & Flagship,Galaxy M16 5G,Samsung Galaxy M16 5G,Galaxy M Series,,,available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037104
Samsung,Mainstream & Flagship,Galaxy M15 5G Prime,Samsung Galaxy M15 5G Prime,Galaxy M Series,,,available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037109
Samsung,Mainstream & Flagship,Galaxy M06 5G,Samsung Galaxy M06 5G,Galaxy M Series,12499.0,"₹12,499",available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037114
Samsung,Mainstream & Flagship,Galaxy M07,Samsung Galaxy M07,Galaxy M Series,11399.0,"₹11,399",available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037118
Samsung,Mainstream & Flagship,Galaxy M05,Samsung Galaxy M05,Galaxy M Series,,,available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037123
Samsung,Mainstream & Flagship,Galaxy F70 Pro 5G,Samsung Galaxy F70 Pro 5G,Galaxy F Series,36999.0,"₹36,999",available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037128
Samsung,Mainstream & Flagship,Galaxy F70e 5G,Samsung Galaxy F70e 5G,Galaxy F Series,16499.0,"₹16,499",available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037133
Samsung,Mainstream & Flagship,Galaxy F56 5G,Samsung Galaxy F56 5G,Galaxy F Series,27999.0,"₹27,999",available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037138
Samsung,Mainstream & Flagship,Galaxy F55 5G,Samsung Galaxy F55 5G,Galaxy F Series,,,available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037142
Samsung,Mainstream & Flagship,Galaxy F36 5G,Samsung Galaxy F36 5G,Galaxy F Series,21999.0,"₹21,999",available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037148
Samsung,Mainstream & Flagship,Galaxy F17 5G,Samsung Galaxy F17 5G,Galaxy F Series,18999.0,"₹18,999",available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037153
Samsung,Mainstream & Flagship,Galaxy F16 5G,Samsung Galaxy F16 5G,Galaxy F Series,,,available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037157
Samsung,Mainstream & Flagship,Galaxy F15 5G,Samsung Galaxy F15 5G,Galaxy F Series,,,available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037162
Samsung,Mainstream & Flagship,Galaxy F13,Samsung Galaxy F13,Galaxy F Series,,,available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037166
Samsung,Mainstream & Flagship,Galaxy F07,Samsung Galaxy F07,Galaxy F Series,11399.0,"₹11,399",available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037172
Samsung,Mainstream & Flagship,Galaxy F06 5G,Samsung Galaxy F06 5G,Galaxy F Series,13999.0,"₹13,999",available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037177
Samsung,Mainstream & Flagship,Galaxy F05,Samsung Galaxy F05,Galaxy F Series,,,available,,India,True,ACTIVE,https://www.samsung.com/in/smartphones/all-smartphones/,,,2026-08-18T23:46:26.037182
,,,,,,,,,,,,,,,
Apple,Mainstream & Flagship,iPhone 17 Pro,Apple iPhone 17 Pro,iPhone,134900.0,"₹134,900",available,,India,True,ACTIVE,https://www.apple.com/in/shop/buy-iphone,,,2026-08-18T23:46:26.092261
Apple,Mainstream & Flagship,iPhone 17 Pro Max,Apple iPhone 17 Pro Max,iPhone,149900.0,"₹149,900",available,,India,True,ACTIVE,https://www.apple.com/in/shop/buy-iphone,,,2026-08-18T23:46:26.092277
Apple,Mainstream & Flagship,iPhone Air,Apple iPhone Air,iPhone,119900.0,"₹119,900",available,,India,True,ACTIVE,https://www.apple.com/in/shop/buy-iphone,,,2026-08-18T23:46:26.092282
Apple,Mainstream & Flagship,iPhone 17,Apple iPhone 17,iPhone,82900.0,"₹82,900",available,,India,True,ACTIVE,https://www.apple.com/in/shop/buy-iphone,,,2026-08-18T23:46:26.092287
Apple,Mainstream & Flagship,iPhone 17e,Apple iPhone 17e,iPhone,64900.0,"₹64,900",available,,India,True,ACTIVE,https://www.apple.com/in/shop/buy-iphone,,,2026-08-18T23:46:26.092291
Apple,Mainstream & Flagship,iPhone 16,Apple iPhone 16,iPhone,69900.0,"₹69,900",available,,India,True,ACTIVE,https://www.apple.com/in/shop/buy-iphone,,,2026-08-18T23:46:26.092294
Apple,Mainstream & Flagship,iPhone 16 Plus,Apple iPhone 16 Plus,iPhone,79900.0,"₹79,900",available,,India,True,ACTIVE,https://www.apple.com/in/shop/buy-iphone,,,2026-08-18T23:46:26.092298
,,,,,,,,,,,,,,,
Motorola,Mainstream & Flagship,Motorola Signature,Motorola Signature,Moto G Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451335
Motorola,Mainstream & Flagship,motorolasignature,motorolasignature,Moto G Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451374
Motorola,Mainstream & Flagship,motorola razr,motorola razr,Razr Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451399
Motorola,Mainstream & Flagship,motorolarazr fold,motorolarazr fold,Razr Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451424
Motorola,Mainstream & Flagship,motorolarazr 60,motorolarazr 60,Razr Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451441
Motorola,Mainstream & Flagship,motorolarazr 60 ultra,motorolarazr 60 ultra,Razr Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451467
Motorola,Mainstream & Flagship,motorola edge,motorola edge,Edge Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451486
Motorola,Mainstream & Flagship,motorolaedge 70 maxnew,motorolaedge 70 maxnew,Edge Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451505
Motorola,Mainstream & Flagship,motorolaedge 70 pro plus,motorolaedge 70 pro plus,Edge Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451525
Motorola,Mainstream & Flagship,motorolaedge 70 pro,motorolaedge 70 pro,Edge Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451543
Motorola,Mainstream & Flagship,motoedge 70 fusion,Motorola motoedge 70 fusion,Edge Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451561
Motorola,Mainstream & Flagship,motoedge 70,Motorola motoedge 70,Edge Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451578
Motorola,Mainstream & Flagship,motorolaedge 60 fusion,motorolaedge 60 fusion,Edge Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451596
Motorola,Mainstream & Flagship,motorolaedge 60 pro,motorolaedge 60 pro,Edge Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451612
Motorola,Mainstream & Flagship,motorolaedge 50 ultraDeal,motorolaedge 50 ultraDeal,Edge Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451632
Motorola,Mainstream & Flagship,moto g,Motorola moto g,Moto G Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451651
Motorola,Mainstream & Flagship,moto g37 power,Motorola moto g37 power,Moto G Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451881
Motorola,Mainstream & Flagship,moto g37,Motorola moto g37,Moto G Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451968
Motorola,Mainstream & Flagship,motorola edge 70 fusion,motorola edge 70 fusion,Edge Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:34.569677
Motorola,Mainstream & Flagship,motorola edge 60 pro,motorola edge 60 pro,Edge Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:39.429404
Motorola,Mainstream & Flagship,razr family,Motorola razr family,Razr Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:35.627534
Motorola,Mainstream & Flagship,motorola razr fold,motorola razr fold,Razr Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:35.627576
Motorola,Mainstream & Flagship,motorola razr 60 ultra,motorola razr 60 ultra,Razr Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:35.627665
Motorola,Mainstream & Flagship,motorola razr 60,motorola razr 60,Razr Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:35.627747
Motorola,Mainstream & Flagship,moto edge family,Motorola moto edge family,Edge Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:39.429011
Motorola,Mainstream & Flagship,motorola edge 70 max,motorola edge 70 max,Edge Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:39.429170
Motorola,Mainstream & Flagship,motorola edge 70 pro,motorola edge 70 pro,Edge Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:39.429298
Motorola,Mainstream & Flagship,motorola edge 70 pro plus,motorola edge 70 pro plus,Edge Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:39.429508
Motorola,Mainstream & Flagship,moto g family,Motorola moto g family,Moto G Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.451805
Motorola,Mainstream & Flagship,moto g57 power 5G,Motorola moto g57 power 5G,Moto G Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.452052
Motorola,Mainstream & Flagship,moto g67 power 5G,Motorola moto g67 power 5G,Moto G Family,,,available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.452126
Motorola,Mainstream & Flagship,motorola razr 50 ultra,motorola razr 50 ultra,Razr Family,89999.0,"₹89,999",available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.452193
Motorola,Mainstream & Flagship,motorola razr 50,motorola razr 50,Razr Family,64999.0,"₹64,999",available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.452200
Motorola,Mainstream & Flagship,motorola razr 40 ultra,motorola razr 40 ultra,Razr Family,69999.0,"₹69,999",available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.452203
Motorola,Mainstream & Flagship,motorola edge 50 ultra,motorola edge 50 ultra,Edge Family,54999.0,"₹54,999",available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.452206
Motorola,Mainstream & Flagship,motorola edge 50 pro,motorola edge 50 pro,Edge Family,31999.0,"₹31,999",available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.452210
Motorola,Mainstream & Flagship,motorola edge 50,motorola edge 50,Edge Family,27999.0,"₹27,999",available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.452213
Motorola,Mainstream & Flagship,motorola edge 50 fusion,motorola edge 50 fusion,Edge Family,22999.0,"₹22,999",available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.452216
Motorola,Mainstream & Flagship,moto g85 5G,Motorola moto g85 5G,Moto G Family,17999.0,"₹17,999",available,,India,True,ACTIVE,https://www.motorola.in/smartphones,,,2026-08-18T23:46:41.452220
